"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2015","2,107.39","2,087.38","2,134.72","2,067.93","","1.05%"
"04/01/2015","2,085.51","2,067.63","2,125.92","2,048.38","","0.85%"
"03/01/2015","2,067.89","2,105.23","2,117.52","2,039.69","","-1.74%"
"02/01/2015","2,104.50","1,996.67","2,119.59","1,980.90","","5.49%"
"01/01/2015","1,994.99","2,058.90","2,072.36","1,988.12","","-3.10%"
"12/01/2014","2,058.90","2,065.78","2,093.55","1,972.56","","-0.42%"
"11/01/2014","2,067.56","2,018.21","2,075.76","2,001.01","","2.45%"
"10/01/2014","2,018.05","1,971.44","2,018.19","1,820.66","","2.32%"
"09/01/2014","1,972.29","2,004.07","2,019.26","1,964.04","","-1.55%"
"08/01/2014","2,003.37","1,929.80","2,005.04","1,904.78","","3.77%"
"07/01/2014","1,930.67","1,962.29","1,991.39","1,930.67","","-1.51%"
"06/01/2014","1,960.23","1,923.87","1,968.17","1,915.98","","1.91%"
"05/01/2014","1,923.57","1,884.39","1,924.03","1,859.79","","2.10%"
"04/01/2014","1,883.95","1,873.96","1,897.28","1,814.36","","0.62%"
"03/01/2014","1,872.34","1,857.68","1,883.97","1,834.44","","0.69%"
"02/01/2014","1,859.45","1,782.68","1,867.92","1,737.92","","4.31%"
"01/01/2014","1,782.59","1,845.86","1,850.84","1,770.45","","-3.56%"
"12/01/2013","1,848.36","1,806.55","1,849.44","1,767.99","","2.36%"
"11/01/2013","1,805.81","1,758.70","1,813.55","1,746.20","","2.80%"
"10/01/2013","1,756.54","1,682.41","1,775.22","1,646.47","","4.46%"
"09/01/2013","1,681.55","1,635.95","1,729.86","1,633.41","","2.97%"
"08/01/2013","1,632.97","1,689.42","1,709.67","1,627.47","","-3.13%"
"07/01/2013","1,685.73","1,609.78","1,698.78","1,604.57","","4.95%"
"06/01/2013","1,606.28","1,631.71","1,654.19","1,560.33","","-1.50%"
"05/01/2013","1,630.74","1,597.55","1,687.18","1,581.28","","2.08%"
"04/01/2013","1,597.57","1,569.18","1,597.57","1,536.03","","1.81%"
"03/01/2013","1,569.19","1,514.68","1,570.28","1,501.48","","3.60%"
"02/01/2013","1,514.68","1,498.11","1,530.94","1,485.01","","1.11%"
"01/01/2013","1,498.11","1,426.19","1,509.94","1,426.19","","5.04%"
"12/01/2012","1,426.19","1,416.34","1,448.00","1,398.11","","0.71%"
"11/01/2012","1,416.18","1,412.20","1,434.27","1,343.35","","0.28%"
"10/01/2012","1,412.16","1,440.90","1,470.96","1,403.28","","-1.98%"
"09/01/2012","1,440.67","1,406.54","1,474.51","1,396.56","","2.42%"
"08/01/2012","1,406.58","1,379.32","1,426.68","1,354.65","","1.98%"
"07/01/2012","1,379.32","1,362.33","1,391.74","1,325.41","","1.26%"
"06/01/2012","1,362.16","1,309.87","1,363.46","1,266.74","","3.96%"
"05/01/2012","1,310.33","1,397.86","1,415.32","1,291.98","","-6.27%"
"04/01/2012","1,397.91","1,408.47","1,422.38","1,357.38","","-0.75%"
"03/01/2012","1,408.47","1,365.90","1,419.15","1,340.03","","3.13%"
"02/01/2012","1,365.68","1,312.45","1,378.04","1,312.45","","4.06%"
"01/01/2012","1,312.41","1,258.86","1,333.47","1,258.86","","4.36%"
"12/01/2011","1,257.60","1,246.91","1,269.37","1,202.37","","0.85%"
"11/01/2011","1,246.96","1,251.00","1,277.55","1,158.66","","-0.51%"
"10/01/2011","1,253.30","1,131.21","1,292.66","1,074.77","","10.77%"
"09/01/2011","1,131.42","1,219.12","1,229.29","1,114.22","","-7.18%"
"08/01/2011","1,218.89","1,292.59","1,307.38","1,101.54","","-5.68%"
"07/01/2011","1,292.28","1,320.64","1,356.48","1,282.86","","-2.15%"
"06/01/2011","1,320.64","1,345.20","1,345.20","1,258.07","","-1.83%"
"05/01/2011","1,345.20","1,365.21","1,370.58","1,311.80","","-1.35%"
"04/01/2011","1,363.61","1,329.48","1,364.56","1,294.70","","2.85%"
"03/01/2011","1,325.83","1,328.64","1,332.28","1,249.05","","-0.10%"
"02/01/2011","1,327.22","1,289.14","1,344.07","1,289.14","","3.20%"
"01/01/2011","1,286.12","1,257.62","1,302.67","1,257.62","","2.26%"
"12/01/2010","1,257.64","1,186.60","1,262.60","1,186.60","","6.53%"
"11/01/2010","1,180.55","1,185.71","1,227.08","1,173.00","","-0.23%"
"10/01/2010","1,183.26","1,143.49","1,196.14","1,131.87","","3.69%"
"09/01/2010","1,141.20","1,049.72","1,157.16","1,049.72","","8.76%"
"08/01/2010","1,049.33","1,107.53","1,129.24","1,039.70","","-4.74%"
"07/01/2010","1,101.60","1,031.10","1,120.95","1,010.91","","6.88%"
"06/01/2010","1,030.71","1,087.30","1,131.23","1,028.33","","-5.39%"
"05/01/2010","1,089.41","1,188.58","1,205.13","1,040.78","","-8.20%"
"04/01/2010","1,186.69","1,171.23","1,219.80","1,170.69","","1.48%"
"03/01/2010","1,169.43","1,105.36","1,180.69","1,105.36","","5.88%"
"02/01/2010","1,104.49","1,073.89","1,112.42","1,044.50","","2.85%"
"01/01/2010","1,073.87","1,116.56","1,150.45","1,071.59","","-3.70%"
"12/01/2009","1,115.10","1,098.89","1,130.38","1,085.89","","1.78%"
"11/01/2009","1,095.63","1,036.18","1,113.69","1,029.38","","5.74%"
"10/01/2009","1,036.19","1,054.91","1,101.36","1,019.95","","-1.98%"
"09/01/2009","1,057.08","1,019.52","1,080.15","991.97","","3.57%"
"08/01/2009","1,020.62","990.22","1,039.47","978.51","","3.36%"
"07/01/2009","987.48","920.82","996.68","869.32","","7.41%"
"06/01/2009","919.32","923.26","956.23","888.86","","0.02%"
"05/01/2009","919.14","872.74","930.17","866.10","","5.31%"
"04/01/2009","872.81","793.59","888.70","783.32","","9.39%"
"03/01/2009","797.87","729.57","832.98","666.79","","8.54%"
"02/01/2009","735.09","823.09","875.01","734.52","","-10.99%"
"01/01/2009","825.88","902.99","943.85","804.30","","-8.57%"
